Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
129913,22894,361681,346539,76425,248053,395735,96577,3355,1144534,103689,109,Dr Sebi The Complete Guide Dr Sebi ’ 
48290,752,19330,7981,1400,874,3638,389,31785,3809,22277,52,Vegan Cookbook Beginners Top Absolutely DeliciousGuiltFree Easy Vegan 
15007,143023,0,0,0,0,0,0,0,0,0,3,The Vegan Bodybuilders Cookbook Essential Recipes Meal Plans 
255726,844325,246917,0,640371,264101,57053,60827,1206,248419,3150,396,Plant Based Diet Cookbook beginners Quick Easy Cookbook 
116568,25309,56617,173772,19380,46859,253305,19814,10439,339939,123985,81,The Farm Cooking School 
76113,0,0,0,0,0,0,0,0,0,0,2,Sprouts The Miracle Food The Complete Guide Sprouting 
2212411,0,0,0,0,0,0,0,0,0,0,2,Essentially Aubergines 
85356,104005,159429,509134,669853,331751,736905,44292,187621,104005,114443,28,FAST EASY VEGETARIAN MEAL PREP Weekly Plans Recipes 
58788,1906607,166044,237469,1915035,496447,76113,17918,602459,35446,179266,59,Comfort food soothe soul 
0,1391318,257449,168954,0,672749,2060620,0,0,0,0,8,Dr Sebi Alkaline Recipe A Comprehensive Guide On 
26304,103580,14802,87197,145970,3150,136571,80,85356,28998,236000,533,The Easy Ingredient Vegan Cookbook Healthy Plant Based 
357124,1235360,3261066,163804,955103,202851,30577,2998,907958,1730341,399203,13,Bean Bean A Cookbook More Recipes Fresh Beans 
12105,21240,5216,8902,13843,6751,100722,21627,21503,99318,3726,84,Vegan Vengeance th Anniversary Edition Over Delicious Cheap 
47411,373443,47689,62073,770980,19060,370034,114692,271100,11033,734127,17,Ottolenghi Flavor A Cookbook 
55980,0,0,0,0,0,0,0,0,0,0,2,Food Mighty Salads New Ways Turn Salad Dinner 
24824,121554,347721,612493,14802,31116,63390,6272,323235,87197,36219,44,Vegetarian Instant Pot Healthy PlantBased Recipes Make Quick 
27794,798464,103018,686738,331376,118894,90717,472742,9801,14802,58788,75,Foodie Cookbook Beginners Foodie Recipe Book Day Plan 
628303,8309,332953,27463,0,0,0,0,0,0,0,5,James Beards Menus Entertaining 
212103,0,0,0,0,0,0,0,0,0,0,2,Organizing Your Kitchen SORT Succeed Five Simple Steps 
0,251474,71549,156366,31116,217156,210616,1206,8514,93261,3150,87,The PlantBased Diet Beginners The Health Benefits Eating 
145129,71444,490,155702,434777,490845,42308,72937,41450,618672,248333,23,Instant Vortex Air Fryer Oven Cookbook beginners Most 
72937,35145,94559,149223,618672,0,0,0,0,0,0,6,INSTANT POT AIR FRYER LID COOKBOOK Affordable Quick 
6013,12212,0,0,0,0,0,0,0,0,0,3,A Table Friends The Art Cooking Two Twenty 
165835,521031,76113,443371,84989,456249,701730,463202,404365,88054,502335,84,Keto Bread Machine Recipe Book Quick And Easy 
39776,67082,946961,371762,295287,685,24887,53548,24670,240478,105332,247,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
697,964295,1065577,1018497,1196,0,0,0,0,0,0,6,Hello Margarita Recipes Best Margarita Cookbook Ever For 
729331,846561,218903,106826,214429,3255,39776,887805,324223,88447,531789,195,Air Fryer Cookbook Beginners Easy Healthy LowCarb Recipes 
234,15974,938525,87109,202958,91496,296765,246233,985901,4096,473259,34,Intermittent Fasting Increase Energy Heal Your Body Intermittent 
12168,222177,384455,26640,72937,3526,490,1175863,44345,0,0,10,Nuwave Air Fryer Oven Cookbook Beginners Amazingly Easy 
3016457,778423,0,0,0,0,0,0,0,0,0,3,Confessions Serial Entertainer 
6013,0,0,0,0,0,0,0,0,0,0,2,Copycat Recipes Texas Roadhouse A StepbyStep Cookbook Guide 
831908,210322,596446,247315,1455873,803789,66353,0,0,0,0,8,KETO SOUPS OVER AMAZING KETO SOUPS FOR ALL 
249273,9662,0,0,62152,10116,10994,24286,1156913,13720,15716,99,More Decorative Napkin Folding Dover Craft Books 
54896,0,0,0,0,0,0,0,0,0,0,2,Platters Boards Beautiful Casual Spreads Every Occasion 
